department,region,performance_rating
Engineering,Asia Pacific,6.80625
Engineering,Europe,6.45625
Engineering,Latin America,7.254545454545454
Engineering,North America,6.447826086956522
HR,Asia Pacific,6.68
HR,Europe,7.283333333333334
HR,Latin America,6.15
HR,North America,6.2
Marketing,Asia Pacific,7.022222222222222
Marketing,Europe,6.7
Marketing,Latin America,4.95
Marketing,North America,6.375
Operations,Asia Pacific,6.6875
Operations,Europe,5.8999999999999995
Operations,Latin America,8.8
Operations,North America,6.422222222222222
Product,Asia Pacific,7.183333333333334
Product,Europe,7.857142857142857
Product,North America,6.676923076923076
Sales,Asia Pacific,6.633333333333333
Sales,Europe,7.185714285714285
Sales,Latin America,7.866666666666667
Sales,North America,6.913636363636363
