date,region,product,revenue
2024-01-05,North,Widget,1200
2024-01-12,South,Widget,900
2024-01-19,East,Gadget,1500
2024-01-26,West,Widget,1100
2024-02-02,North,Gadget,1300
2024-02-09,South,Gadget,800
2024-02-16,East,Widget,1600
2024-02-23,West,Gadget,1050
2024-03-01,North,Widget,1250
2024-03-08,South,Widget,700
2024-03-15,East,Gadget,1450
2024-03-22,West,Widget,1000
2024-04-05,North,Gadget,900
2024-04-12,South,Widget,600
2024-04-19,East,Widget,1100
2024-04-26,West,Gadget,750
2024-05-03,North,Widget,850
2024-05-10,South,Gadget,500
2024-05-17,East,Widget,950
2024-05-24,West,Widget,700
